src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god made of nought heaven and earth. in the beginning god made out of nothing the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha dènge aad'o.",,eng,nfa,English,Dhao,-10.4943,-2.2477,-4.321
"forsooth the earth was idle and void, and darknesses were on the face of the depth; and the spirit of the lord was borne on the waters or and the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Te ngaa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Roh Lamatua ètu dꞌara èi, aa Roh Lamatua ètu dꞌara èi, jꞌajꞌi mèu-mèu.","Te ngaa rai-haha ne aa'i-aa'i aa mèu-mèu, aa maroga ètu rohu marèma. Aa Roh Lamatua mora iisi ètu d'ara èi, do aa Roh Lamatua mora iisi ètu d'ara èi.",,eng,nfa,English,Dhao,13.2039,7.1324,6.9671
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Hudꞌi laa!"" Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Èle èèna ka, Ama Lamatua peka, ""Hudꞌi laa!"" Èle èèna ka, laa j'aj'i.",,eng,nfa,English,Dhao,10.5258,0.1025,2.4644
"and god saw the light, that it was good, and he parted the light from the darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe mèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Hèia Ama Lamatua ladhe saraa, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo saraa ngèti maroga.",,eng,nfa,English,Dhao,0.2862,-0.5148,-0.9271
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day or the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu.","Aa èle hag'e nare samaa, lod'o, aa maroga, mèda. Aa mèda aa mèu, nèti èèna ka, lod'o ca'a, sèmi lod'o ka-èci.",,eng,nfa,English,Dhao,10.898,24.5445,23.8332
"and god said, the firmament be made in the midst of the waters, and part the waters from the waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or from these that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Sèmi neꞌe! Ladhe ètu dedha-liru, èèna jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi èci dènge èci, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna kahèi.","Hèia Ama Lamatua peka, aku Nèngu na, 'Ladhe dedha-liru jꞌajꞌi ètu tanga oe, hèia pakula oe ngèti oe.' Hèia Ama Lamatua pajꞌajꞌi dedha-liru, hèia pakula oe ètu d'ai dedha-liru ngèti oe ètu dedha dedha-liru. Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,-5.4236,-4.4845,-5.6259
"and god called the firmament, the heavens. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, aa jꞌajꞌi aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, Lamatua pajꞌajꞌi aaꞌi-aaꞌi ètu dedha-liru.","Aa Ama Lamatua pajꞌujꞌu dedha-liru, 'dedha-liru'. Aa jꞌajꞌi lod'o aa mèu, lod'o karua.",,eng,nfa,English,Dhao,8.674,11.7798,11.5971
"forsooth god said, the waters, that be under the heavens, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Sèmi neꞌe, sèna ka èi dhu ètu dedha-liru jꞌajꞌi ètu dꞌara èci, aa jꞌajꞌi ètu dꞌara èci."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, ""Sèna ka èi dhu ètu dedha-liru kaboko ètu era èci, aa era mango bhodho."" Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,-4.1791,-0.7845,-2.018
"and god called the dry place, the earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, dhasi.""","aa Ama Lamatua pangee era mango, na, 'Rai-haha'; aa Ama Lamatua pangee era oe teme-teme, na, 'Dhasi'. aa Ama Lamatua mèdha na, èèna mèu.",,eng,nfa,English,Dhao,1.1656,5.3538,6.2555
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so. and said, let the earth bring forth green herbs, which make seed after their kind, and trees making fruit after their kind, whose seed be in them, all over the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka kahèi, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Ama Lamatua peka, ""Hudi rai-haha ne hia hela mangèru, aa tao hini, aa aj'u tao hua tare nèngu rupa, hini nèngu ètu nèngu, ètu rai-haha ne."" Hèia tao sèmi èèna kahèi. Aa Nèngu peka kahèi, ""Hudi rai-haha ne hia hela mangèru, rèngu tao hini tare rèngu rupa, aa aj'u tao hua tare rèngu rupa, hini rèngu ètu rèngu, aa'i ètu rai-haha ne."" Hèia tao sèmi èèna kahèi.",,eng,nfa,English,Dhao,0.8671,7.6729,5.0214
